Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu04218:Cellular senescence	14	1.2444444444444445	0.05845312530156026	MAP2K1, SMAD3, FBXW11, RRAS2, CACNA1D, FOXO1, HIPK3, TGFBR2, PPP3CA, AKT2, MAPK1, CAPN1, MCU, MAP2K6	429	182	9718	1.7425138963600502	0.9999999807967775	0.32645519036343085	0.29447140482106776
GOTERM_BP_DIRECT	GO:0048709~oligodendrocyte differentiation	6	0.5333333333333333	0.058687648111743394	NKX6-2, MIOS, CNP, PTPRJ, NRG1, TSPAN2	1084	58	29878	2.8513169614454763	1.0	0.7044369118775509	0.6912923597768134
GOTERM_MF_DIRECT	GO:0004143~ATP-dependent diacylglycerol kinase activity	3	0.26666666666666666	0.059826778918476535	DGKG, DGKI, DGKH	1077	11	29205	7.395543175487465	1.0	0.5819049094805666	0.5599172898780497
GOTERM_CC_DIRECT	GO:0016363~nuclear matrix	10	0.8888888888888888	0.060299716078420114	NCOR2, PIAS4, CEBPB, CLIC4, STAG1, PBRM1, ACTL6B, ENC1, THOC1, MEN1	1093	136	30060	2.022227006081481	1.0	0.3597367677157029	0.3215984857515739
GOTERM_BP_DIRECT	GO:0007369~gastrulation	5	0.4444444444444444	0.06030771854701351	RIC8A, ACVR1, ARFRP1, SMAD3, TGFBR2	1084	41	29878	3.361308613086131	1.0	0.7072554930406787	0.6940583471784217
GOTERM_BP_DIRECT	GO:0043488~regulation of mRNA stability	5	0.4444444444444444	0.06030771854701351	PIAS4, CARHSP1, YTHDC2, ELAVL4, RBM24	1084	41	29878	3.361308613086131	1.0	0.7072554930406787	0.6940583471784217
GOTERM_BP_DIRECT	GO:0060391~positive regulation of SMAD protein signal transduction	5	0.4444444444444444	0.06030771854701351	ACVR1, TGFBR3, TWSG1, ACVR2A, TGFBR2	1084	41	29878	3.361308613086131	1.0	0.7072554930406787	0.6940583471784217
GOTERM_BP_DIRECT	GO:0150052~regulation of postsynapse assembly	5	0.4444444444444444	0.06030771854701351	DOCK10, HTR4, LZTS1, CC2D1A, LZTS3	1084	41	29878	3.361308613086131	1.0	0.7072554930406787	0.6940583471784217
GOTERM_BP_DIRECT	GO:0046579~positive regulation of Ras protein signal transduction	4	0.35555555555555557	0.0604094704962472	NOTCH2, MAP2K1, NRG1, DGKI	1084	25	29878	4.410036900369003	1.0	0.7072554930406787	0.6940583471784217
GOTERM_BP_DIRECT	GO:0044342~type B pancreatic cell proliferation	4	0.35555555555555557	0.0604094704962472	MAP2K1, IGFBP4, CCN3, MEN1	1084	25	29878	4.410036900369003	1.0	0.7072554930406787	0.6940583471784217
GOTERM_BP_DIRECT	GO:0098696~regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	4	0.35555555555555557	0.0604094704962472	MAP2K1, TMEM108, GPC4, KALRN	1084	25	29878	4.410036900369003	1.0	0.7072554930406787	0.6940583471784217
GOTERM_BP_DIRECT	GO:0045862~positive regulation of proteolysis	4	0.35555555555555557	0.0604094704962472	FBXW11, EP300, CAPN3, CD46	1084	25	29878	4.410036900369003	1.0	0.7072554930406787	0.6940583471784217
KEGG_PATHWAY	mmu04070:Phosphatidylinositol signaling system	9	0.8	0.06059162388283558	DGKG, IPPK, INPP4B, PRKCB, INPP5D, PIP5K1B, SYNJ2, DGKI, DGKH	429	96	9718	2.1236888111888113	0.9999999901812474	0.3321318642466543	0.2995919180873537
GOTERM_MF_DIRECT	GO:0019894~kinesin binding	6	0.5333333333333333	0.06206427233815826	CLSTN2, DCDC2A, NEK6, CROCC, KIF5A, SYNE1	1077	58	29205	2.8052060320814522	1.0	0.5985520501764754	0.5759354085617229
GOTERM_BP_DIRECT	GO:0070371~ERK1 and ERK2 cascade	6	0.5333333333333333	0.06229710678114523	MAP2K1, RAPGEF1, TRF, MAPK1, SPRY1, AGT	1084	59	29878	2.8029895553192814	1.0	0.7248944688142435	0.7113681856905085
